company_id,type,rule_id,text,confidence_pct
ADANIPORTS,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% (58.4%) indicates strong pricing power and cost discipline,88
ADANIPORTS,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ADANIPORTS,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIPOWER,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% (36.2%) indicates strong pricing power and cost discipline,88
ADANIPOWER,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ADANIPOWER,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ADANIPOWER,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
AMBUJACEM,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
AMBUJACEM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
AMBUJACEM,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
APOLLOHOSP,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
APOLLOHOSP,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
APOLLOHOSP,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ASIANPAINT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ASIANPAINT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ASIANPAINT,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ATGL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ATGL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ATGL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ATGL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ATGL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
AXISBANK,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
AXISBANK,pro,PRO_5,Operating profit margin above 25% (34.7%) indicates strong pricing power and cost discipline,88
AXISBANK,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BAJAJ-AUTO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJAJ-AUTO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BAJAJ-AUTO,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BAJAJFINSV,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJAJFINSV,pro,PRO_5,Operating profit margin above 25% (37.0%) indicates strong pricing power and cost discipline,88
BAJAJFINSV,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJFINSV,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BAJAJFINSV,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BAJAJHLDNG,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJAJHLDNG,pro,PRO_5,Operating profit margin above 25% (91.8%) indicates strong pricing power and cost discipline,88
BAJAJHLDNG,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BAJAJHLDNG,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BAJFINANCE,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJFINANCE,pro,PRO_5,Operating profit margin above 25% (29.3%) indicates strong pricing power and cost discipline,88
BAJFINANCE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJFINANCE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BAJFINANCE,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BANKBARODA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BANKBARODA,pro,PRO_5,Operating profit margin above 25% (37.5%) indicates strong pricing power and cost discipline,88
BANKBARODA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BANKBARODA,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BEL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BHARTIARTL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BHARTIARTL,pro,PRO_5,Operating profit margin above 25% (52.2%) indicates strong pricing power and cost discipline,88
BHARTIARTL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BHARTIARTL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BHEL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BHEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BHEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BOSCHLTD,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BOSCHLTD,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BOSCHLTD,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BPCL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BPCL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BPCL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BRITANNIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BRITANNIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
BRITANNIA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
CANBK,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
CANBK,pro,PRO_5,Operating profit margin above 25% (41.8%) indicates strong pricing power and cost discipline,88
CANBK,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
CANBK,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
CHOLAFIN,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
CHOLAFIN,pro,PRO_5,Operating profit margin above 25% (28.1%) indicates strong pricing power and cost discipline,88
CHOLAFIN,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
CHOLAFIN,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
CHOLAFIN,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CHOLAFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
CIPLA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
CIPLA,pro,PRO_5,Operating profit margin above 25% (75.6%) indicates strong pricing power and cost discipline,88
CIPLA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
CIPLA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
CIPLA,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CIPLA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
COALINDIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
COALINDIA,pro,PRO_5,Operating profit margin above 25% (66.3%) indicates strong pricing power and cost discipline,88
COALINDIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
COALINDIA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
COALINDIA,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
COALINDIA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
DABUR,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
DABUR,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DABUR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
DABUR,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
DIVISLAB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
DIVISLAB,pro,PRO_5,Operating profit margin above 25% (28.2%) indicates strong pricing power and cost discipline,88
DIVISLAB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DIVISLAB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
DIVISLAB,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
DIVISLAB,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
DLF,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
DLF,pro,PRO_5,Operating profit margin above 25% (33.0%) indicates strong pricing power and cost discipline,88
DLF,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
DLF,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
DMART,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
DMART,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DMART,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
DMART,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
DRREDDY,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
DRREDDY,pro,PRO_5,Operating profit margin above 25% (28.3%) indicates strong pricing power and cost discipline,88
DRREDDY,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
DRREDDY,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
EICHERMOT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
EICHERMOT,pro,PRO_5,Operating profit margin above 25% (26.2%) indicates strong pricing power and cost discipline,88
EICHERMOT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
EICHERMOT,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
GAIL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
GAIL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
GAIL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
GAIL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
GODREJCP,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
GODREJCP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
GODREJCP,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
GRASIM,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
GRASIM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
GRASIM,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HAL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HAL,pro,PRO_5,Operating profit margin above 25% (32.1%) indicates strong pricing power and cost discipline,88
HAL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HAL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HAL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HAVELLS,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HAVELLS,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HAVELLS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HAVELLS,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HCLTECH,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HCLTECH,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HCLTECH,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HCLTECH,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
HCLTECH,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HDFCBANK,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HDFCBANK,pro,PRO_5,Operating profit margin above 25% (61.4%) indicates strong pricing power and cost discipline,88
HDFCBANK,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HDFCBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HDFCLIFE,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HDFCLIFE,pro,PRO_5,Operating profit margin above 25% (99.5%) indicates strong pricing power and cost discipline,88
HDFCLIFE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HDFCLIFE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HDFCLIFE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HDFCLIFE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HEROMOTOCO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HEROMOTOCO,pro,PRO_5,Operating profit margin above 25% (86.1%) indicates strong pricing power and cost discipline,88
HEROMOTOCO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HEROMOTOCO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HEROMOTOCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HEROMOTOCO,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
HEROMOTOCO,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HINDALCO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HINDALCO,pro,PRO_5,Operating profit margin above 25% (88.9%) indicates strong pricing power and cost discipline,88
HINDALCO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HINDALCO,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HINDUNILVR,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
HINDUNILVR,pro,PRO_5,Operating profit margin above 25% (76.3%) indicates strong pricing power and cost discipline,88
HINDUNILVR,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HINDUNILVR,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
HINDUNILVR,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ICICIBANK,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ICICIBANK,pro,PRO_5,Operating profit margin above 25% (62.4%) indicates strong pricing power and cost discipline,88
ICICIBANK,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ICICIBANK,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ICICIGI,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ICICIGI,pro,PRO_5,Operating profit margin above 25% (87.4%) indicates strong pricing power and cost discipline,88
ICICIGI,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ICICIGI,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ICICIGI,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ICICIGI,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ICICIGI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ICICIPRULI,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ICICIPRULI,pro,PRO_5,Operating profit margin above 25% (102.0%) indicates strong pricing power and cost discipline,88
ICICIPRULI,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ICICIPRULI,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ICICIPRULI,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ICICIPRULI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
INDIGO,pro,PRO_5,Operating profit margin above 25% (76.3%) indicates strong pricing power and cost discipline,88
INDIGO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
INDIGO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
INDIGO,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INDIGO,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
INDUSINDBK,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
INDUSINDBK,pro,PRO_5,Operating profit margin above 25% (38.6%) indicates strong pricing power and cost discipline,88
INDUSINDBK,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
INDUSINDBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
INDUSINDBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
INDUSINDBK,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INDUSINDBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
INFY,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
INFY,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
INFY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
INFY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
INFY,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INFY,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
IOC,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
IOC,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
IOC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
IOC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
IRCTC,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
IRCTC,pro,PRO_5,Operating profit margin above 25% (34.3%) indicates strong pricing power and cost discipline,88
IRCTC,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
IRCTC,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
IRCTC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
IRCTC,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
IRCTC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
IRFC,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
IRFC,pro,PRO_5,Operating profit margin above 25% (99.5%) indicates strong pricing power and cost discipline,88
IRFC,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
IRFC,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
IRFC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
IRFC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ITC,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ITC,pro,PRO_5,Operating profit margin above 25% (37.0%) indicates strong pricing power and cost discipline,88
ITC,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ITC,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ITC,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
ITC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
JINDALSTEL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
JINDALSTEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
JINDALSTEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,80
JINDALSTEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
JIOFIN,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
